State	Total Cases	Total Death	Death_100k
AK	4259		28		4
AL	108433		1898		39
AR	52665		599		20
AS	0		0		0
AZ	193537		4506		63
CA	621562		11224		28
CO	53176		1896		33
CT	50897		4453		125
DC	13220		597		85
DE	16536		593		61
FL	567375		9452		44
FSM	0		0		0
GA	237030		4702		45
GU	558		5		3
HI	4697		40		3
IA	52433		975		31
ID	27660		269		15
IL	207413		7955		62
IN	80415		3133		47
KS	33885		402		14
KY	39315		813		18
LA	137918		4507		97
MA	123593		8837		128
MD	100715		3641		60
ME	4197		127		9
MI	102259		6592		66
MN	65716		1759		31
MO	67475		1367		22
MP	53		2		4
MS	72136		2084		70
MT	5779		82		8
NC	144952		2347		23
ND	8647		126		17
NE	30372		361		19
NH	6988		423		31
NJ	187455		15903		179
NM	23408		714		34
NV	61511		1100		36
NY	195285		8901		80
NYC	231624		23634		281
OH	108287		3826		33
OK	51387		657		17
OR	23744		393		9
PA	124460		7468		58
PR	26760		335		10
PW	0		0		0
RI	20335		1021		97
RMI	0		0		0
SC	106497		2269		45
SD	10274		153		17
TN	133708		1366		20
TX	535042		9983		35
UT	47248		363		11
VA	107421		2385		28
VI	741		9		9
VT	1515		58		9
WA	67461		1781		24
WI	70246		1046		18
WV	8564		160		9
WY	3286		30		5
US	5382125		169350		2440
